VERSION,CAMERA_NUMBER,VIDEO_NAME,FRAMENUMBER,CLASS,SCORE_CLASS,X1_ORGAN,Y1_ORGAN,X2_ORGAN,Y2_ORGAN,AREA_CLASS,FEATURE,SCORE_FEATURE,AREA_FEATURE
2023-06-05,CAM7,CAM7_20220203_092129.avi,134,None,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,135,None,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,136,None,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,137,None,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,138,None,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,139,None,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,140,Tail,0.59,31.0,1107.0,72.0,1205.0,4018.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,141,None,0.0,0.0,0.0,0.0,0.0,0.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,142,Tail,0.87,31.0,1102.0,102.0,1224.0,8662.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,143,Tail,0.91,30.0,1113.0,106.0,1256.0,10868.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,144,Tail,0.93,31.0,1118.0,113.0,1262.0,11808.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,145,Tail,0.94,35.0,1119.0,123.0,1266.0,12936.0,None,0.0,0.0
2023-06-05,CAM7,CAM7_20220203_092129.avi,146,Tail,0.95,32.0,1113.0,138.0,1269.0,16536.0,None,0.0,0.0
